bench,ORDER,n,t
create,2,4927,0.00018665350000000004
create,2,4943,0.00018260487499999998
create,2,4959,0.00018282424999999997
create,2,4975,0.0001853675
create,2,4991,0.00018441212499999997
create,2,5007,0.00018267037499999998
create,2,5023,0.00018568700000000003
create,2,5039,0.00018417575
create,2,5055,0.00018580224999999997
create,2,5071,0.000188373
create,2,5087,0.00018630187500000004
create,2,5103,0.0001906255
create,2,5119,0.00018418687500000003
create,2,5135,0.000189823375
create,2,5151,0.00018717537499999997
create,2,5167,0.000185571125
create,2,5183,0.00018492875000000004
create,2,5199,0.000185461125
create,2,5215,0.00018499425000000002
create,2,5231,0.00018674125
create,2,5247,0.000185703375
create,2,5263,0.000189372875
create,2,5279,0.00018206137499999998
create,2,5295,0.00018341225
create,2,5311,0.000187225125
create,2,5327,0.00018734037499999997
create,2,5343,0.00018808162500000004
create,2,5359,0.000188048875
create,2,5375,0.000184752625
create,2,5391,0.00018590112500000005
create,2,5407,0.00018373112499999998
create,2,5423,0.000186296625
create,2,5439,0.00018818574999999999
create,2,5455,0.00018595612499999997
create,2,5471,0.00018643349999999996
create,2,5487,0.000183160125
create,2,5503,0.00019318512500000003
create,2,5519,0.00018659850000000004
create,2,5535,0.00018395637499999995
create,2,5551,0.00018715312500000003
create,2,5567,0.00018320925000000002
create,2,5583,0.000186559875
create,2,5599,0.000186131625
create,2,5615,0.00018642887500000004
create,2,5631,0.00018531312500000004
create,2,5647,0.00018511537499999996
create,2,5663,0.00018837825000000004
create,2,5679,0.00018258324999999997
create,2,5695,0.00018660962499999996
create,2,5711,0.00019105899999999996
create,2,5727,0.0001846485
create,2,5743,0.0001930365
create,2,5759,0.00018746675000000002
create,2,5775,0.0001887135
create,2,5791,0.00018870237499999998
create,2,5807,0.000187889125
create,2,5823,0.00018853212499999998
create,2,5839,0.000189230125
create,2,5855,0.000193855625
create,2,5871,0.00018652712500000001
create,2,5887,0.00018696125
create,2,5903,0.00018821387499999998
create,2,5919,0.00018857599999999998
create,2,5935,0.00018775750000000002
create,2,5951,0.00018712624999999997
create,2,5967,0.00018685124999999998
create,2,5983,0.00018685712500000003
create,2,5999,0.00018774700000000002
create,2,6015,0.000193843875
create,2,6031,0.00018800499999999996
create,2,6047,0.00018223687499999998
create,2,6063,0.00018910375000000002
create,2,6079,0.00019220750000000002
create,2,6095,0.00019163
create,2,6111,0.000186922625
create,2,6127,0.00019678325
create,2,6143,0.00018931787500000002
create,2,6159,0.00018840575
create,2,6175,0.000189329
create,2,6191,0.000191635875
create,2,6207,0.000188752125
create,2,6223,0.00018975725
create,2,6239,0.000193420875
create,2,6255,0.000196228
create,2,6271,0.000196459125
create,2,6287,0.00019189975000000005
create,2,6303,0.000192371875
create,2,6319,0.000198629125
create,2,6335,0.000185648375
create,2,6351,0.00018772475
create,2,6367,0.00018324787499999996
create,2,6383,0.00019424524999999996
create,2,6399,0.00018985612499999998
create,2,6415,0.00018908675
create,2,6431,0.00018853212499999998
create,2,6447,0.000193322
create,2,6463,0.000192383
create,2,6479,0.00019081737500000002
create,2,6495,0.00019199274999999997
create,2,6511,0.000193969625
create,2,6527,0.00019229525000000002
create,2,6543,0.00019422887500000004
create,2,6559,0.000191910875
create,2,6575,0.00019282825
create,2,6591,0.00019080624999999997
create,2,6607,0.000197030125
create,2,6623,0.00019500875
create,2,6639,0.000189658375
create,2,6655,0.000190514875
create,2,6671,0.000195871125
create,2,6687,0.00019644274999999997
create,2,6703,0.00019072375
create,2,6719,0.00019388775
create,2,6735,0.000193295125
create,2,6751,0.000189619125
create,2,6767,0.00019371225
create,2,6783,0.0001951515
create,2,6799,0.0001935695
create,2,6815,0.00018857599999999998
create,2,6831,0.000194113625
create,2,6847,0.000199287875
create,2,6863,0.00019030662500000003
create,2,6879,0.00019883737499999996
create,2,6895,0.00018961975
create,2,6911,0.00019286099999999998
create,2,6927,0.00019131174999999998
create,2,6943,0.00019459099999999995
