bench,ORDER,n,t
create,2,534,0.00014460750000000003
create,2,535,0.00013846087499999997
create,2,536,0.000143476
create,2,537,0.00014276225
create,2,538,0.00013943325
create,2,539,0.00014227312499999999
create,2,540,0.00014329525
create,2,541,0.00014016337500000003
create,2,542,0.000146332875
create,2,543,0.00014265225
create,2,544,0.000144130125
create,2,545,0.00014166875
create,2,546,0.000142190625
create,2,547,0.00014473325
create,2,548,0.0001447725
create,2,549,0.000142899125
create,2,550,0.000148607
create,2,551,0.00014454725000000003
create,2,552,0.000141800375
create,2,553,0.0001426025
create,2,554,0.000149106625
create,2,555,0.0001436515
create,2,556,0.00014431674999999998
create,2,557,0.000141256875
create,2,558,0.00014345375
create,2,559,0.00014495975
create,2,560,0.000146480875
create,2,561,0.00014456949999999997
create,2,562,0.00014360762500000002
create,2,563,0.00013995449999999998
create,2,564,0.000141850125
create,2,565,0.00014657975
create,2,566,0.00014264637499999998
create,2,567,0.00014265224999999998
create,2,568,0.00014678275
create,2,569,0.00013828474999999998
create,2,570,0.00014589874999999998
create,2,571,0.00014448112499999998
create,2,572,0.00014526162500000001
create,2,573,0.00014356375
create,2,574,0.000143514625
create,2,575,0.000144986625
create,2,576,0.00014483275
create,2,577,0.000145382125
create,2,578,0.00014187175
create,2,579,0.000143316875
create,2,580,0.0001423105
create,2,581,0.00014780487500000002
create,2,582,0.0001477335
create,2,583,0.00014298162500000003
create,2,584,0.00014752462500000003
create,2,585,0.000143519875
create,2,586,0.000143514625
create,2,587,0.00014223975
create,2,588,0.00014905749999999997
create,2,589,0.00014429974999999998
create,2,590,0.00014561262500000004
create,2,591,0.00014742575
create,2,592,0.000145915125
create,2,593,0.00014677750000000002
create,2,594,0.00014194837500000002
create,2,595,0.00014375625000000001
create,2,596,0.00014222337500000002
create,2,597,0.0001482115
create,2,598,0.00014209700000000002
create,2,599,0.000143294625
create,2,600,0.00014502987499999997
create,2,601,0.00014294825
create,2,602,0.00014708462499999996
create,2,603,0.000145722
create,2,604,0.00014922187499999997
create,2,605,0.00014620587499999997
create,2,606,0.000149221875
create,2,607,0.00014435475000000003
create,2,608,0.000144706375
create,2,609,0.000145359875
create,2,610,0.0001455085
create,2,611,0.000145014125
create,2,612,0.00015013399999999998
create,2,613,0.0001517265
create,2,614,0.00014539324999999999
create,2,615,0.00014412949999999998
create,2,616,0.000148755
create,2,617,0.00014412424999999998
create,2,618,0.00014220700000000002
create,2,619,0.00014943075000000005
create,2,620,0.00014694775
create,2,621,0.000145469875
create,2,622,0.000145689875
create,2,623,0.000143162375
create,2,624,0.0001492055
create,2,625,0.000146217
create,2,626,0.00014509075
create,2,627,0.00014901300000000003
create,2,628,0.000143585375
create,2,629,0.000146453375
create,2,630,0.00014828812500000002
create,2,631,0.00014461862499999997
create,2,632,0.0001453055
create,2,633,0.0001484695
create,2,634,0.000147008
create,2,635,0.00014524987500000002
create,2,636,0.00014683775
create,2,637,0.00014717824999999998
create,2,638,0.00014751287499999998
create,2,639,0.000145684
create,2,640,0.000145667625
create,2,641,0.0001467775
create,2,642,0.0001472005
create,2,643,0.00014507962500000002
create,2,644,0.000148865
create,2,645,0.00014399199999999996
create,2,646,0.000148941625
create,2,647,0.000147029625
create,2,648,0.00015106775
create,2,649,0.00015195762499999998
create,2,650,0.000148821125
create,2,651,0.00014994674999999996
create,2,652,0.000146903875
create,2,653,0.000149414375
create,2,654,0.000146744125
create,2,655,0.0001471455
create,2,656,0.00014685412500000002
create,2,657,0.000148090375
create,2,658,0.000148364125
create,2,659,0.00014577175
create,2,660,0.00014774987500000003
create,2,661,0.000147277125
create,2,662,0.00014461862499999997
create,2,663,0.00014579400000000003
create,2,664,0.000150606125
create,2,665,0.000150583875
create,2,666,0.0001471285
create,2,667,0.0001468155
create,2,668,0.000150134
create,2,669,0.00014698049999999999
create,2,670,0.000147502375
create,2,671,0.00014765037500000003
create,2,672,0.00014547574999999998
create,2,673,0.00014638074999999998
create,2,674,0.00014621700000000005
create,2,675,0.00014617837499999997
create,2,676,0.000150117625
create,2,677,0.0001501445
create,2,678,0.00015412175
